id,name,soil_moisture,temperature,recording_taken,last_watered,botanist_name,botanist_email,botanist_phone,latitude,longitude,town,country_code,continent,city
12,Brugmansia X Candida,97.58,12.9,2024-04-17 13:54:53,"Wed, 17 Apr 2024 13:13:51 GMT",Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,32.5,-94.74,Longview,US,America,Chicago
13,Canna Striata,99.01,9.62,2024-04-17 13:54:50,"Wed, 17 Apr 2024 13:36:47 GMT",Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,49.68,8.62,Bensheim,DE,Europe,Berlin
14,Colocasia Esculenta,20.02,13.23,2024-04-17 13:54:49,"Tue, 16 Apr 2024 14:17:54 GMT",Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,29.65,-82.32,Gainesville,US,America,New_York
15,Cuphea David Verity,99.45,10.03,2024-04-17 13:54:50,"Wed, 17 Apr 2024 13:45:31 GMT",Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,36.08,9.37,Siliana,TN,Africa,Tunis
16,Euphorbia Cotinifolia,99.64,13.34,2024-04-17 13:54:54,"Wed, 17 Apr 2024 13:50:40 GMT",Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,40.93,-73.9,Yonkers,US,America,New_York
17,Ipomoea Batatas,16.65,9.85,2024-04-17 13:54:55,"Tue, 16 Apr 2024 14:02:40 GMT",Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,-7.52,109.05,Wangon,ID,Asia,Jakarta
18,Manihot Esculenta Variegata,18.14,9.13,2024-04-17 13:54:51,"Tue, 16 Apr 2024 14:29:39 GMT",Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,51.3,13.11,Oschatz,DE,Europe,Berlin
19,Musa Basjoo,98.3,13.9,2024-04-17 13:54:52,"Wed, 17 Apr 2024 13:24:30 GMT",Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,-21.44,27.46,Tonota,BW,Africa,Gaborone
20,Salvia Splendens,18.75,8.69,2024-04-17 13:54:49,"Tue, 16 Apr 2024 14:49:34 GMT",Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,41.16,1.11,Reus,ES,Europe,Madrid
21,Anthurium,19.61,11.09,2024-04-17 13:54:52,"Tue, 16 Apr 2024 14:23:59 GMT",Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,-29.3,-51.5,Carlos Barbosa,BR,America,Sao_Paulo
22,Bird Of Paradise,96.99,9.6,2024-04-17 13:54:52,"Wed, 17 Apr 2024 13:03:26 GMT",Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,48.36,10.98,Friedberg,DE,Europe,Berlin
23,Cordyline Fruticosa,20.65,11.49,2024-04-17 13:54:54,"Tue, 16 Apr 2024 14:56:47 GMT",Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,52.53,13.29,Charlottenburg-Nord,DE,Europe,Berlin
24,Ficus,16.96,13.11,2024-04-17 13:54:52,"Tue, 16 Apr 2024 14:44:00 GMT",Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,43.83,144.1,Motomachi,JP,Asia,Tokyo
25,Palm Trees,18.78,11.63,2024-04-17 13:54:55,"Tue, 16 Apr 2024 13:58:41 GMT",Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,11.87,34.39,Ar Ruseris,SD,Africa,Khartoum
26,Dieffenbachia Seguine,22.08,14.19,2024-04-17 13:54:53,"Tue, 16 Apr 2024 14:23:18 GMT",Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,36.06,4.63,El Achir,DZ,Africa,Algiers
27,Spathiphyllum,21.26,10.81,2024-04-17 13:54:57,"Tue, 16 Apr 2024 14:58:20 GMT",Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,51.68,33.92,Hlukhiv,UA,Europe,Kiev
28,Croton,16.21,12.45,2024-04-17 13:54:54,"Tue, 16 Apr 2024 14:37:02 GMT",Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,43.91,-69.97,Brunswick,US,America,New_York
29,Aloe Vera,97.56,10.92,2024-04-17 13:54:56,"Wed, 17 Apr 2024 13:11:24 GMT",Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,34.76,136.13,Ueno-ebisumachi,JP,Asia,Tokyo
30,Ficus Elastica,20.46,14.56,2024-04-17 13:54:54,"Tue, 16 Apr 2024 13:55:19 GMT",Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,30.76,20.23,Ajdabiya,LY,Africa,Tripoli
31,Sansevieria Trifasciata,97.16,13.41,2024-04-17 13:54:56,"Wed, 17 Apr 2024 13:05:43 GMT",Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,23.3,113.82,Licheng,CN,Asia,Shanghai
32,Philodendron Hederaceum,16.2,10.65,2024-04-17 13:54:55,"Tue, 16 Apr 2024 14:29:54 GMT",Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,52.48,10.55,Gifhorn,DE,Europe,Berlin
33,Schefflera Arboricola,16.76,13.62,2024-04-17 13:54:51,"Tue, 16 Apr 2024 14:05:58 GMT",Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,28.93,78.23,Bachhraon,IN,Asia,Kolkata
35,Monstera Deliciosa,98.69,13.02,2024-04-17 13:54:56,"Wed, 17 Apr 2024 13:32:46 GMT",Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,-32.45,-71.23,La Ligua,CL,America,Santiago
36,Tacca Integrifolia,19.64,12.39,2024-04-17 13:54:53,"Tue, 16 Apr 2024 14:09:55 GMT",Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,32.54,-82.9,Dublin,US,America,New_York
37,Psychopsis Papilio,19.36,11.13,2024-04-17 13:54:54,"Tue, 16 Apr 2024 14:23:43 GMT",Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,30.21,74.48,Malaut,IN,Asia,Kolkata
38,Saintpaulia Ionantha,99.51,11.12,2024-04-17 13:54:53,"Wed, 17 Apr 2024 13:46:06 GMT",Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,-6.8,39.25,Magomeni,TZ,Africa,Dar_es_Salaam
39,Gaillardia,15.43,13.46,2024-04-17 13:54:54,"Tue, 16 Apr 2024 14:18:23 GMT",Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,36.25,139.07,Fujioka,JP,Asia,Tokyo
40,Amaryllis,20.74,9.17,2024-04-17 13:54:53,"Tue, 16 Apr 2024 14:05:38 GMT",Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,44.93,4.9,Valence,FR,Europe,Paris
41,Caladium Bicolor,99.46,11.85,2024-04-17 13:54:53,"Wed, 17 Apr 2024 13:45:13 GMT",Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,22.47,88.15,Pujali,IN,Asia,Kolkata
42,Chlorophytum Comosum,19.78,9.91,2024-04-17 13:54:55,"Tue, 16 Apr 2024 14:49:43 GMT",Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,41.57,24.71,Smolyan,BG,Europe,Sofia
44,Araucaria Heterophylla,98.73,9.64,2024-04-17 13:54:54,"Wed, 17 Apr 2024 13:32:40 GMT",Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,20.23,-103.57,Zacoalco de Torres,MX,America,Mexico_City
45,Begonia,16.99,9.09,2024-04-17 13:54:54,"Tue, 16 Apr 2024 14:04:23 GMT",Gertrude Jekyll,gertrude.jekyll@lnhm.co.uk,001-481-273-3691x127,33.95,-118.04,South Whittier,US,America,Los_Angeles
46,Medinilla Magnifica,21.42,13.39,2024-04-17 13:54:53,"Tue, 16 Apr 2024 14:12:39 GMT",Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,-13.78,34.46,Salima,MW,Africa,Blantyre
47,Calliandra Haematocephala,97.89,13.38,2024-04-17 13:54:55,"Wed, 17 Apr 2024 13:30:18 GMT",Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,37.49,15.07,Catania,IT,Europe,Rome
48,Zamioculcas Zamiifolia,17.75,14.93,2024-04-17 13:54:53,"Tue, 16 Apr 2024 14:31:09 GMT",Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,14.15,121.32,Calauan,PH,Asia,Manila
49,Crassula Ovata,16.46,9.48,2024-04-17 13:54:52,"Tue, 16 Apr 2024 14:02:15 GMT",Eliza Andrews,eliza.andrews@lnhm.co.uk,(846)669-6651x75948,17.95,-94.91,Acayucan,MX,America,Mexico_City
50,Epipremnum Aureum,16.83,13.24,2024-04-17 13:54:53,"Tue, 16 Apr 2024 14:03:04 GMT",Carl Linnaeus,carl.linnaeus@lnhm.co.uk,(146)994-1635x35992,-19.33,-41.26,Resplendor,BR,America,Sao_Paulo
